,id,host_id,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,with_wifi,with_air_conditioning,with_cable_tv,pets_allowed
0,958,1169,within a day,100.0,1.0,1.0,1.0,1.0,1.0,Western Addition,37.76931,-122.43386000000001,1.0,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,170.0,100.0,100.0,2,25.0,1,30,1,1,30,30,1.0,30.0,2 months ago,3,8,16,85,1.0,0.0,moderate,0.0,0.0,1,1,0,0,1.74,1.0,0.0,1.0,0.0
1,3850,4921,within an hour,100.0,1.0,2.0,2.0,1.0,1.0,Inner Sunset,37.754020000000004,-122.45805,1.0,House,Private room,2,1.0,1.0,1.0,Real Bed,99.0,0.0,10.0,2,20.0,1,5,1,1,5,5,1.0,5.0,3 days ago,5,32,62,62,1.0,0.0,strict_14_with_grace_period,0.0,0.0,3,0,3,0,1.28,1.0,0.0,0.0,0.0
2,5858,8904,within a day,80.0,0.0,2.0,2.0,1.0,1.0,Bernal Heights,37.74511,-122.42102,1.0,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,235.0,,100.0,2,0.0,30,60,30,30,60,60,30.0,60.0,3 weeks ago,0,0,0,0,1.0,0.0,strict_14_with_grace_period,0.0,0.0,1,1,0,0,0.87,1.0,0.0,0.0,0.0
3,7918,21994,within an hour,86.0,1.0,10.0,10.0,1.0,1.0,Haight Ashbury,37.766690000000004,-122.4525,1.0,Apartment,Private room,2,4.0,1.0,1.0,Real Bed,65.0,200.0,50.0,1,12.0,32,60,32,32,60,60,32.0,60.0,3 months ago,30,60,90,365,1.0,0.0,strict_14_with_grace_period,0.0,0.0,9,0,9,0,0.15,1.0,0.0,0.0,0.0
4,8142,21994,within an hour,86.0,1.0,10.0,10.0,1.0,1.0,Haight Ashbury,37.76487,-122.45183,1.0,Apartment,Private room,2,4.0,1.0,1.0,Real Bed,65.0,200.0,50.0,1,12.0,32,90,32,32,90,90,32.0,90.0,3 months ago,30,60,90,365,1.0,0.0,strict_14_with_grace_period,0.0,0.0,9,0,9,0,0.13,1.0,0.0,0.0,0.0
5,8339,24215,within a few hours,100.0,0.0,2.0,2.0,1.0,1.0,Western Addition,37.77525,-122.43637,1.0,House,Entire home/apt,4,1.5,2.0,2.0,Real Bed,875.0,0.0,225.0,2,150.0,6,1125,6,6,1125,1125,6.0,1125.0,7 weeks ago,30,60,90,90,1.0,0.0,moderate,1.0,1.0,2,2,0,0,0.23,1.0,0.0,0.0,0.0
6,8739,7149,within an hour,100.0,1.0,2.0,2.0,1.0,0.0,Mission,37.759190000000004,-122.42237,1.0,Condominium,Private room,3,1.0,1.0,2.0,Real Bed,139.0,0.0,50.0,2,60.0,1,14,1,1,14,14,1.0,14.0,2 weeks ago,7,21,47,135,1.0,1.0,strict_14_with_grace_period,0.0,0.0,2,0,2,0,5.67,1.0,0.0,1.0,0.0
7,9225,29674,within an hour,100.0,1.0,1.0,1.0,1.0,1.0,Potrero Hill,37.76259,-122.40543000000001,1.0,House,Private room,2,1.0,1.0,1.0,Real Bed,135.0,,50.0,1,0.0,1,365,1,1,365,365,1.0,365.0,2 days ago,15,41,71,344,1.0,0.0,strict_14_with_grace_period,0.0,0.0,1,0,1,0,4.21,1.0,0.0,1.0,0.0
8,10251,35199,within a few hours,100.0,1.0,1.0,1.0,1.0,1.0,Mission,37.75874,-122.41327,1.0,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,225.0,500.0,100.0,1,0.0,30,60,30,30,60,60,30.0,60.0,4 weeks ago,13,43,73,348,1.0,0.0,moderate,0.0,0.0,1,1,0,0,2.74,1.0,0.0,1.0,0.0
9,10578,37049,within a few hours,100.0,0.0,0.0,0.0,1.0,1.0,Nob Hill,37.79143,-122.41543999999999,1.0,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,120.0,500.0,75.0,2,0.0,30,180,30,30,180,180,30.0,180.0,2 months ago,0,27,57,332,1.0,0.0,moderate,0.0,1.0,1,1,0,0,0.19,1.0,0.0,1.0,0.0
10,10820,38836,within a few hours,100.0,0.0,47.0,47.0,1.0,1.0,Haight Ashbury,37.77187,-122.43858999999999,1.0,Apartment,Entire home/apt,3,1.0,3.0,3.0,Real Bed,177.0,2500.0,208.0,6,0.0,30,1125,30,30,1125,1125,30.0,1125.0,2 weeks ago,12,42,72,347,1.0,0.0,strict_14_with_grace_period,0.0,0.0,41,41,0,0,0.3,1.0,0.0,1.0,1.0
11,10824,38836,within a few hours,100.0,0.0,47.0,47.0,1.0,1.0,Western Addition,37.77355,-122.42436000000001,1.0,Apartment,Entire home/apt,5,2.0,3.0,3.0,Real Bed,194.0,3000.0,208.0,1,0.0,30,1125,30,30,1125,1125,30.0,1125.0,2 weeks ago,0,0,11,286,1.0,0.0,strict_14_with_grace_period,0.0,0.0,41,41,0,0,0.16,1.0,0.0,1.0,1.0
12,10832,38836,within a few hours,100.0,0.0,47.0,47.0,1.0,1.0,Downtown/Civic Center,37.785740000000004,-122.40798000000001,1.0,Apartment,Entire home/apt,2,1.5,1.0,1.0,Real Bed,139.0,2500.0,156.0,1,0.0,30,365,30,30,365,365,30.0,365.0,2 weeks ago,5,35,65,340,1.0,0.0,strict_14_with_grace_period,0.0,0.0,41,41,0,0,0.23,1.0,0.0,1.0,0.0
13,12041,21994,within an hour,86.0,1.0,10.0,10.0,1.0,1.0,Haight Ashbury,37.77019,-122.44594,0.0,Apartment,Private room,2,3.0,1.0,2.0,Real Bed,85.0,200.0,50.0,1,12.0,32,60,32,32,60,60,32.0,60.0,3 months ago,30,60,90,365,1.0,0.0,strict_14_with_grace_period,0.0,0.0,9,0,9,0,0.06,1.0,0.0,0.0,0.0
14,12042,21994,within an hour,86.0,1.0,10.0,10.0,1.0,1.0,Haight Ashbury,37.76894,-122.44778000000001,0.0,Apartment,Private room,2,3.0,1.0,2.0,Real Bed,85.0,200.0,50.0,1,12.0,32,90,32,32,90,90,32.0,90.0,3 months ago,30,60,90,365,1.0,0.0,strict_14_with_grace_period,0.0,0.0,9,0,9,0,0.06,1.0,0.0,0.0,0.0
15,12522,18431,within an hour,100.0,1.0,1.0,1.0,1.0,1.0,Castro/Upper Market,37.76075,-122.43032,1.0,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,79.0,,10.0,1,0.0,3,27,3,3,27,27,3.0,27.0,3 days ago,6,7,7,7,1.0,1.0,strict_14_with_grace_period,0.0,0.0,1,0,1,0,3.49,1.0,0.0,0.0,0.0
16,12584,49383,within an hour,100.0,1.0,1.0,1.0,1.0,1.0,Inner Sunset,37.762029999999996,-122.45455,0.0,Townhouse,Entire home/apt,4,1.0,2.0,3.0,Real Bed,122.0,899.0,279.0,1,40.0,30,367,30,30,367,367,30.0,367.0,3 weeks ago,0,0,17,292,1.0,0.0,strict_14_with_grace_period,1.0,1.0,1,1,0,0,0.2,1.0,0.0,1.0,0.0
17,14125,55475,within a few hours,100.0,1.0,1.0,1.0,1.0,1.0,Mission,37.754909999999995,-122.42246000000002,1.0,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,215.0,,80.0,2,35.0,3,10,3,3,10,10,3.0,10.0,4 weeks ago,2,8,29,296,1.0,0.0,moderate,0.0,0.0,1,1,0,0,0.96,1.0,0.0,0.0,0.0
18,17132,43185,within a few hours,100.0,0.0,4.0,4.0,1.0,1.0,South of Market,37.78647,-122.39072,0.0,Condominium,Entire home/apt,4,2.0,2.0,2.0,Real Bed,450.0,5000.0,250.0,4,100.0,90,365,90,90,365,365,90.0,365.0,4 months ago,30,60,90,365,1.0,0.0,strict_14_with_grace_period,0.0,0.0,1,1,0,0,0.13,1.0,1.0,0.0,0.0
19,18231,70224,,,0.0,1.0,1.0,1.0,0.0,Noe Valley,37.74888,-122.42981999999999,1.0,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,107.0,,,2,20.0,30,365,30,30,365,365,30.0,365.0,3 months ago,0,12,42,317,1.0,0.0,strict_14_with_grace_period,0.0,0.0,1,1,0,0,0.54,1.0,0.0,1.0,1.0
20,18904,72464,within a few hours,100.0,1.0,3.0,3.0,1.0,1.0,Western Addition,37.77252,-122.43216000000001,1.0,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,110.0,130.0,30.0,1,0.0,2,29,2,2,29,29,2.0,29.0,2 days ago,13,37,59,59,1.0,0.0,strict_14_with_grace_period,1.0,1.0,2,0,2,0,4.15,1.0,0.0,0.0,0.0
21,21334,81455,,,0.0,1.0,1.0,1.0,1.0,Nob Hill,37.7958,-122.41533000000001,1.0,Loft,Entire home/apt,2,1.0,1.0,1.0,Real Bed,125.0,500.0,100.0,1,25.0,30,30,30,30,30,30,30.0,30.0,2 weeks ago,23,53,83,358,1.0,1.0,moderate,1.0,1.0,1,1,0,0,1.04,1.0,0.0,1.0,0.0
22,21914,21994,within an hour,86.0,1.0,10.0,10.0,1.0,1.0,Haight Ashbury,37.7648,-122.45251,1.0,Apartment,Private room,2,4.0,1.0,1.0,Real Bed,65.0,200.0,50.0,1,12.0,32,90,32,32,90,90,32.0,90.0,3 months ago,30,60,90,365,1.0,0.0,strict_14_with_grace_period,0.0,0.0,9,0,9,0,0.14,1.0,0.0,0.0,0.0
